Name,Sequence,,Description,Character,Button Left (Negative),,,,,,Button Right (Positive),,,,,
TradingGuilds-5.0,5,0,"Meowjesty, the merchants of catnip seek to form a guild, claiming it shall bring order to trade. Yet there be concerns it will allow them to charge as they please.",Treasurer,Forbid this union.,,,,5,,"Grant their wish, but we shall tax them.",,10,,-5,1
TradingGuilds-5.1,5,1,"The guild of catnip traders demands special privileges, threatening to cease trade otherwise.",Treasurer,It shall not be so.,5,-15,,-10,,Grant their wishes.,-10,5,,-5,
Bard,,,"Meowjesty, we had reports of a famed bard who travels the land, singing of our battles. Yet his tales bring mirth, not valour; jest, not glory. He speaks of our troops as more fur than fury.",Councillor,Relieve him of his meddling tongue.,5,,5,-15,,His words are nothing but a harmless fluff.,-5,,-15,,
PrincessBD,,,"The royal princess’s birthday is approaching, and she wishes for a grand feast with the commoners.",Steward,The kingdom has no need of such fancy.,,,,-5,,If we must.,,10,,5,
PrincessMariage-7.0,7,0,"A commoner has sent a love letter to the princess, stirring whispers among the noble paws.",Steward,Take care of this fool.,5,,,-10,1,Leave them be.,-10,,,5,1
PrincessMariage-7.1,7,1,"Meowjesty, the whispers grow louder, and we can not silence them. Though it will not please the princess, I propose she marries Prince Tailwyn of Tabbyshire to end the rumours. Such a match shall also secure an ally of great might.",Steward,Let her decide.,-10,,-10,5,,It's decided.,10,,15,-5,
CommonersFeast,,,"A street cat, beloved by the common paws, proclaims himself your illegitimate heir, Meowjesty. What is to be done with him?",Steward,I shall take one of his lives in exchange.,5,,,-5,,Let him be.,-10,,,5,
Library,,,A hidden wing of the royal library has been uncovered. Its shelves filled with the secrets of feline times long past.,Treasurer,Seal it tighter than a mousetrap.,-5,-5,,,,We shall study the ancient ways of the paw.,5,5,5,,
CatnipSoldier,,,"Meowjesty, one of my finest warriors was caught red-pawed stealing catnip from the royal stash, purring excuses all the while. What shall we do with this fool?",General,Strip him from his ranks and send him to clean litter boxes.,10,5,-10,-5,,I will allow only this once.,-10,-5,,,
Purrcules,,,A wandering bard named Purrcules claims to have bested the giant Lynx of Clawmbria.,General,Let him purr his nonsense for all to hear.,,,,,,Recruit him for our ranks.,,-5,5,5,
Tea,,,"A merchant arrived from afar with sacks of dried leaves, promising that their brew can warm even the frostiest paws.",Steward,We need no such sorcery.,,,,,,I'll take a hundred sacks!,,-15,5,10,
GoldenArmor,,,"One of our knights came to the barracks in golden armour this morrow, claiming the Gods themselves anointed him the Paw of Glory.",General,Melt it into coins for our treasury.,5,10,,,,"From this day, he shall be known as the Golden Paw.",,,-5,,
Canon,,,An inventor presented us with a curious device that spits stones faster than a cat's pounce.,General,"Our power comes from our iron claws, not foolish devices.",,,-5,,,Make him the army's chief engineer.,,-5,15,,
Tournament,,,"A young noble proposed a Tournament of the Tails to entertain the realm, promising to unite commoners and nobles.",Steward,The kingdom has no need of such fancy.,,,,-5,,Very well.,,-15,5,15,
Seer,,,A wandering seer claimed she can foresee the future by reading paw prints in fresh sand.,Councillor,She belongs in the litter chamber then.,,,,,,She shall be my personal advisor.,-15,-5,,,
StrayCook,,,A stray cat has snuck into the royal kitchens and now claims to be the Master of Mice.,Steward,Give him the cook's hat.,,,,5,,He shall practice his mastery on the streets.,,,,-5,
Socks,,,"A noble cat has started a fashion trend of wearing socks over her paws, calling it the height of elegance.",Steward,Socks shall be the royal standard.,,,,,,Ban this absurdity!,,,,-5,
Frogs,,,"The royal moat has become overrun with frogs, and the guards claim they croak insults at the crown.",Steward,Drain the moat immediately!,5,,,-10,,We shall teach them manners!,5,,,,
BarnKnight,,,A group of commoners insists that their leader is the reincarnation of a legendary hero. They demand he be knighted.,Councillor,Send him to guard the hayloft.,5,,,-5,,"Arise, Sir Barncat!",-5,,-5,5,
MagicalScratchingPost,,,"A merchant offers a magical scratching post, claiming it grants unparalleled wisdom.",Steward,Make this merchant scratch for his supper.,10,,,,,Order one for each noble.,-5,-10,,,
